Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace Surface,Garden Surface,Number of facades,Swimming pool,State of building,Garden,Terrace
VWD15538,Seneffe,7180,410000,1,Villa,Sale,4,175,1,0,0,,,4,0,1,1,1
RBU63284,Hennuyres,7090,750000,1,House,Sale,4,550,,0,0,30.0,1085.0,4,0,1,1,1
VBD47289,Loverval,6280,1600,,Flat,Rent,2,124,,1,0,25.0,30.0,3,0,2,1,1
RBU62463,Flnu,7012,920,1,House,Rent,3,161,,0,0,35.0,35.0,3,0,1,1,1
VBD47252,La Louvire,7100,175000,,Flat,Sale,2,76,1,0,0,,,2,0,,0,1
VBD47231,Mont-sur-Marchienne,6032,990,1,House,Rent,2,112,,0,0,15.0,,,0,1,1,1
RBU62400,Solre-sur-Sambre,6560,80000,1,House,Sale,3,235,,0,0,30.0,,3,0,0,0,1
RBU62399,Mons,7000,195000,1,House,Sale,2,103,,0,0,10.0,80.0,,0,,1,1
VBD46983,Farciennes,6240,129000,1,House,Sale,1,45,,0,0,,,4,0,1,1,0
VBD46872,Bersillies-lAbbaye,6560,158000,1,House,Sale,4,135,,0,0,,890.0,4,0,,1,0
VBD46869,Solre-sur-Sambre,6560,125000,1,House,Sale,3,85,,0,0,,135.0,2,0,,1,0
VBD46833,Gilly,6060,229000,1,House,Sale,5,202,,0,0,6.0,,3,0,,0,1
VBD46619,Bouffioulx,6200,349000,1,House,Sale,3,200,1,0,0,,,4,0,1,1,1
RBU61388,Jumet,6040,135000,1,House,Sale,2,130,,0,0,,100.0,3,0,0,1,1
VBD46457,Soignies,7060,480000,1,MasterHouse,Sale,6,580,,0,0,54.0,592.0,4,0,0,1,1
VBD46368,Mons,7000,680,,Flat,Rent,1,70,,0,0,,,3,0,1,0,0
VBD46156,Montigny-le-Tilleul,6110,229000,1,Villa,Sale,3,100,1,0,0,,,4,0,0,1,1
VBD46079,Braine-le-Comte,7090,225000,1,House,Sale,4,121,1,0,0,20.0,220.0,2,0,1,1,1
VBD46075,Mons,7000,670,,Flat,Rent,1,68,,0,0,,,4,0,1,0,0
VBD45817,Lobbes,6540,345000,1,Villa,Sale,6,146,1,0,0,41.0,,4,0,2,1,1
VBD45814,Hyon,7022,345000,1,House,Sale,2,171,,0,0,,452.0,4,0,1,1,0
VBD45776,Gosselies,6041,825,,Flat,Rent,2,,1,0,0,,,3,0,2,1,1
VBD45770,Charleroi,6000,190000,,Flat,Sale,2,150,1,0,0,,,2,0,1,0,1
VBD45768,Erquelinnes,6560,190000,1,House,Sale,3,148,,0,0,,,4,0,0,1,1
VBD45718,Charleroi,6000,105000,,Flat,Sale,2,85,,0,0,,,3,0,,0,0
VBD45714,Charleroi,6000,105000,,Flat,Sale,2,85,,0,0,,,4,0,,0,1
VBD45664,Chtelet,6200,169000,1,House,Sale,3,110,1,0,0,12.0,120.0,2,0,1,1,1
VBD45600,Mouscron,7700,595000,1,House,Sale,3,486,,0,0,,,2,0,,1,1
VBD45578,Leugnies,6500,260000,1,House,Sale,2,100,,0,0,,,,0,,0,1
VBD45576,Obaix,6230,160000,1,House,Sale,2,100,,0,0,,,,0,,0,0
VBD45451,Chtelet,6200,279000,1,House,Sale,5,232,1,0,0,,110.0,2,0,1,1,1
VBD45315,Haine-Saint-Pierre,7100,224000,1,House,Sale,3,152,,0,0,,,,0,1,1,1
VBD45314,Bouffioulx,6200,149000,1,House,Sale,4,231,,0,0,,,,0,,1,0
VBD32345,Gerpinnes,6280,320000,1,House,Sale,4,165,,0,0,,,4,0,0,1,0
VBD33527,pinois,7134,230000,1,House,Sale,2,175,1,0,0,,,2,0,,1,1
VBD44848,Erquelinnes,6560,254000,1,Villa,Sale,5,160,,0,0,10.0,,4,0,,1,1
VBD44847,Erquelinnes,6560,254000,1,House,Sale,5,160,,0,0,10.0,,4,0,,1,1
VBD44803,Farciennes,6240,169000,1,MixedBuilding,Sale,3,315,,0,0,,600.0,2,0,0,1,0
VBD44518,Charleroi,6000,49000,,FlatStudio,Sale,1,35,1,0,0,,,2,0,1,0,0
VBD44107,Gilly,6060,125000,1,House,Sale,2,100,,0,0,,,,0,0,1,0
VBD43559,Charleroi,6000,825,,Flat,Rent,2,70,1,0,0,,,2,0,2,0,0
VWD15387,La Louvire,7100,149000,,Flat,Sale,3,100,,0,0,,,,0,,0,1
VBD42976,Aiseau-Presles,6250,359000,1,House,Sale,3,135,1,0,0,,1000.0,4,0,1,1,1
VWD15590,Brugelette,7940,800,,Flat,Rent,2,75,,0,0,,,3,0,1,0,0
VWD15588,Marcinelle,6001,750,,Duplex,Rent,2,70,,0,0,,,,0,1,0,0
VBD49621,Frameries,7080,149000,1,House,Sale,3,158,,0,0,,75.0,2,0,0,1,1
VBD49620,Honnelles,7387,134000,1,House,Sale,3,176,,0,0,20.0,250.0,3,0,0,1,1
VBD49619,Casteau,7061,625000,1,Villa,Sale,7,270,1,0,0,,,4,0,2,1,1
VBD49615,Mont-sur-Marchienne,6032,110000,1,House,Sale,2,85,,0,0,,,3,0,0,1,0
VBD49608,Wagnele,6223,315000,1,House,Sale,3,159,,0,0,25.0,280.0,3,0,1,1,1
VBD49607,Montignies-sur-Sambre,6061,249000,1,House,Sale,4,167,1,0,0,15.0,50.0,3,0,2,1,1
VBD49593,Dottignies,7711,309000,,Flat,Sale,2,,,0,0,10.0,,,0,,0,1
VBD49592,Dottignies,7711,299000,,Flat,Sale,2,,,0,0,10.0,,,0,,0,1
RBU66042,Ath,7800,165000,,Flat,Sale,1,93,1,0,0,,,2,0,2,0,0
VBD49589,Marcinelle,6001,675,,Flat,Rent,1,56,,0,0,,,,0,,0,1
VWD15587,Goze,6534,1030,1,Villa,Rent,2,140,,0,0,30.0,700.0,4,0,2,1,1
VBD49570,Tournai,7500,259000,1,House,Sale,2,175,,0,0,,,,0,,0,1
VBD49562,Mons,7000,100000,,Flat,Sale,1,57,1,0,0,,,2,0,0,0,0
VBD49554,Hornu,7301,730,,Flat,Rent,,,,0,0,,,,0,,0,0
VBD49552,Mons,7000,480,,FlatStudio,Rent,0,36,,0,0,,,,0,1,0,0
VBD49530,Pecq,7740,209000,1,House,Sale,3,132,,0,0,,,3,0,,1,0
VBD49529,Warcoing,7740,579000,1,House,Sale,6,317,,0,0,,,4,0,,1,1
VBD49528,Antoing,7640,75000,1,House,Sale,3,115,,0,0,,,2,0,0,1,0
VBD49527,Tournai,7500,398000,,Flat,Sale,3,124,,0,0,,,2,0,,0,1
VBD49526,Pruwelz,7600,105000,1,House,Sale,3,134,,0,0,,,2,0,,0,0
VBD49524,Amougies,7750,249000,1,House,Sale,2,125,,0,0,,,,0,,0,0
VBD49521,Godarville,7160,179999,1,House,Sale,2,113,1,0,0,,,3,0,1,1,1
VBD49520,Mouscron,7700,229000,1,House,Sale,3,156,,0,0,21.0,120.0,2,0,1,1,1
VBD49519,Herseaux,7712,500,,Flat,Rent,1,70,,0,0,,,,0,,0,0
VBD49514,Tournai,7500,685,,Flat,Rent,1,65,,0,0,,,2,0,2,0,0
VBD49510,Genly,7040,430000,1,House,Sale,5,399,,0,0,63.0,533.0,3,0,1,1,1
VBD49428,Courcelles,6180,225000,1,House,Sale,4,152,1,0,0,35.0,1840.0,3,0,0,1,1
