Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building
VWD15538,Seneffe,7180,410000.00,House,Villa,Sale,4,175 ,1,,False,True,True,4,False,Normal
RBU63284,Hennuy&#xE8;res,7090,750000.00,House,House,Sale,4,550 ,,False,,30 m²,1085 m²,4,,Normal
VBD47289,Loverval,6280,1600.00,Appartment,Flat,Rent,2,124 ,,True,,25 m²,30 m²,3,,Excellent
RBU62463,Fl&#xE9;nu,7012,920.00,House,House,Rent,3,161 ,,False,,35 m²,35 m²,3,,Normal
VBD47252,La Louvi&#xE8;re,7100,175000.00,Appartment,Flat,Sale,2,76 ,1,False,,True,False,2,False,
VBD47231,Mont-sur-Marchienne,6032,990.00,House,House,Rent,2,112 ,,False,,15 m²,True,,,Normal
RBU62400,Solre-sur-Sambre,6560,80000.00,House,House,Sale,3,235 ,,False,,30 m²,False,3,,To be renovated
RBU62399,Mons,7000,195000.00,House,House,Sale,2,103 ,,False,,10 m²,80 m²,,,
VBD46983,Farciennes,6240,129000.00,House,House,Sale,1,45 ,,False,,False,True,4,,Normal
VBD46872,Bersillies-l&#x27;Abbaye,6560,158000.00,House,House,Sale,4,135 ,,,,False,890 m²,4,,
VBD46869,Solre-sur-Sambre,6560,125000.00,House,House,Sale,3,85 ,,,,False,135 m²,2,,
VBD46833,Gilly,6060,229000.00,House,House,Sale,5,202 ,,False,,6 m²,False,3,False,
VBD46619,Bouffioulx,6200,349000.00,House,House,Sale,3,200 ,1,,,True,True,4,False,Normal
RBU61388,Jumet,6040,135000.00,House,House,Sale,2,130 ,,False,,True,100 m²,3,,To be renovated
VBD46457,Soignies,7060,480000.00,House,MasterHouse,Sale,6,580 ,,,,54 m²,592 m²,4,False,To be renovated
VBD46368,Mons,7000,680.00,Appartment,Flat,Rent,1,70 ,,False,,False,False,3,False,Normal
VBD46156,Montigny-le-Tilleul,6110,229000.00,House,Villa,Sale,3,100 ,1,False,,True,True,4,,To renovate
VBD46079,Braine-le-Comte,7090,225000.00,House,House,Sale,4,121 ,1,False,,20 m²,220 m²,2,False,Normal
VBD46075,Mons,7000,670.00,Appartment,Flat,Rent,1,68 ,,False,,False,False,4,False,Normal
VBD45817,Lobbes,6540,345000.00,House,Villa,Sale,6,146 ,1,False,,41 m²,True,4,False,Excellent
VBD45814,Hyon,7022,345000.00,House,House,Sale,2,171 ,,False,,,452 m²,4,,Normal
VBD45776,Gosselies,6041,825.00,Appartment,Flat,Rent,2,,1,,,True,True,3,False,Excellent
VBD45770,Charleroi,6000,190000.00,Appartment,Flat,Sale,2,150 ,1,,,True,False,2,,Normal
VBD45768,Erquelinnes,6560,190000.00,House,House,Sale,3,148 ,,False,,True,True,4,False,To renovate
VBD45718,Charleroi,6000,105000.00,Appartment,Flat,Sale,2,85 ,,False,,False,False,3,,
VBD45714,Charleroi,6000,105000.00,Appartment,Flat,Sale,2,85 ,,False,,True,False,4,,
VBD45664,Ch&#xE2;telet,6200,169000.00,House,House,Sale,3,110 ,1,False,,12 m²,120 m²,2,False,Normal
VBD45600,Mouscron,7700,595000.00,House,House,Sale,3,486 ,,,,True,True,2,,
VBD45578,Leugnies,6500,260000.00,House,House,Sale,2,100 ,,False,False,True,False,,,
VBD45576,Obaix,6230,160000.00,House,House,Sale,2,100 ,,False,False,False,False,,,
VBD45451,Ch&#xE2;telet,6200,279000.00,House,House,Sale,5,232 ,1,False,,True,110 m²,2,False,Normal
VBD45315,Haine-Saint-Pierre,7100,224000.00,House,House,Sale,3,152 ,,,False,True,True,,,Normal
