Living area,count
150.0,105
100.0,101
160.0,94
120.0,94
130.0,86
80.0,84
90.0,83
110.0,76
200.0,74
140.0,69
180.0,66
170.0,61
85.0,60
91.0,59
165.0,52
115.0,51
95.0,51
75.0,49
190.0,49
105.0,48
125.0,48
70.0,48
127.0,47
92.0,46
93.0,45
65.0,45
175.0,45
220.0,44
96.0,44
99.0,43
60.0,42
210.0,41
98.0,39
133.0,39
102.0,39
83.0,37
185.0,37
135.0,37
103.0,36
87.0,36
82.0,36
117.0,35
55.0,35
104.0,35
97.0,35
88.0,35
148.0,34
250.0,34
143.0,34
132.0,34
155.0,34
86.0,34
112.0,33
230.0,33
101.0,32
107.0,32
145.0,32
126.0,31
136.0,31
113.0,31
240.0,31
50.0,31
114.0,31
152.0,31
260.0,31
153.0,31
167.0,30
89.0,30
158.0,30
168.0,29
157.0,29
166.0,29
78.0,29
122.0,29
74.0,28
84.0,28
131.0,28
176.0,27
195.0,27
146.0,27
128.0,27
134.0,27
144.0,26
118.0,26
73.0,26
81.0,26
174.0,26
121.0,26
108.0,26
156.0,26
178.0,25
68.0,25
225.0,25
300.0,25
66.0,25
77.0,25
169.0,25
137.0,25
186.0,25
147.0,24
138.0,24
129.0,24
154.0,23
123.0,23
116.0,23
142.0,23
94.0,23
162.0,23
61.0,22
184.0,21
179.0,21
212.0,21
193.0,21
182.0,21
67.0,20
205.0,20
171.0,20
111.0,20
71.0,20
106.0,20
177.0,20
124.0,20
76.0,20
187.0,20
183.0,19
350.0,19
206.0,19
172.0,19
161.0,19
181.0,18
204.0,18
63.0,18
62.0,18
164.0,18
192.0,17
139.0,17
203.0,17
270.0,17
208.0,17
216.0,17
215.0,17
189.0,17
109.0,16
255.0,16
64.0,16
194.0,16
163.0,16
149.0,16
72.0,16
79.0,15
191.0,15
141.0,15
45.0,15
119.0,15
198.0,15
235.0,15
151.0,14
56.0,14
280.0,14
188.0,14
500.0,14
57.0,14
207.0,14
202.0,14
253.0,13
196.0,13
51.0,13
400.0,13
199.0,12
217.0,12
214.0,12
54.0,12
340.0,12
232.0,12
40.0,12
227.0,11
35.0,11
59.0,11
1.0,11
258.0,11
226.0,11
58.0,10
209.0,10
47.0,10
236.0,10
221.0,10
42.0,10
233.0,10
228.0,10
197.0,10
231.0,10
48.0,10
69.0,10
239.0,10
275.0,9
264.0,9
218.0,9
173.0,9
600.0,9
310.0,9
265.0,9
213.0,9
201.0,9
390.0,9
278.0,8
246.0,8
251.0,8
223.0,8
256.0,8
219.0,8
159.0,7
242.0,7
277.0,7
380.0,7
274.0,7
238.0,7
222.0,7
330.0,7
291.0,7
259.0,7
349.0,6
510.0,6
52.0,6
229.0,6
248.0,6
53.0,6
316.0,6
480.0,6
234.0,6
41.0,6
39.0,6
440.0,6
211.0,6
284.0,6
700.0,6
286.0,6
309.0,6
420.0,6
308.0,6
224.0,6
292.0,6
320.0,6
290.0,6
30.0,5
33.0,5
363.0,5
37.0,5
249.0,5
530.0,5
299.0,5
262.0,5
305.0,5
243.0,5
365.0,5
295.0,5
276.0,5
370.0,5
261.0,5
311.0,5
244.0,5
315.0,5
46.0,5
281.0,5
324.0,5
1500.0,4
36.0,4
467.0,4
374.0,4
269.0,4
266.0,4
318.0,4
267.0,4
254.0,4
237.0,4
385.0,4
282.0,4
296.0,4
273.0,4
343.0,4
247.0,4
252.0,4
347.0,4
25.0,4
321.0,4
297.0,4
355.0,4
245.0,4
20.0,4
43.0,4
272.0,4
337.0,4
287.0,4
302.0,4
360.0,4
317.0,4
257.0,4
550.0,4
490.0,4
298.0,3
285.0,3
615.0,3
325.0,3
895.0,3
293.0,3
332.0,3
49.0,3
345.0,3
338.0,3
26.0,3
482.0,3
486.0,3
522.0,3
1000.0,3
44.0,3
24.0,3
373.0,3
307.0,3
38.0,3
306.0,3
323.0,3
328.0,3
410.0,3
271.0,3
369.0,3
389.0,3
358.0,3
279.0,3
283.0,3
339.0,3
344.0,3
288.0,3
418.0,3
32.0,3
263.0,3
438.0,3
384.0,3
371.0,3
366.0,3
327.0,2
405.0,2
493.0,2
393.0,2
241.0,2
485.0,2
1498.0,2
430.0,2
391.0,2
319.0,2
800.0,2
611.0,2
507.0,2
652.0,2
540.0,2
447.0,2
27.0,2
29.0,2
406.0,2
664.0,2
336.0,2
361.0,2
564.0,2
650.0,2
503.0,2
560.0,2
14.0,2
474.0,2
375.0,2
13.0,2
18.0,2
348.0,2
335.0,2
424.0,2
426.0,2
304.0,2
388.0,2
396.0,2
422.0,2
437.0,2
28.0,2
404.0,2
519.0,2
303.0,2
399.0,2
314.0,2
352.0,2
524.0,2
377.0,2
331.0,2
980.0,2
617.0,2
387.0,2
408.0,2
17.0,2
514.0,2
660.0,2
334.0,2
505.0,1
367.0,1
730.0,1
409.0,1
294.0,1
545.0,1
508.0,1
538.0,1
383.0,1
790.0,1
821.0,1
353.0,1
562.0,1
1579.0,1
446.0,1
412.0,1
427.0,1
1048.0,1
2350.0,1
667.0,1
442.0,1
584.0,1
1800.0,1
31.0,1
623.0,1
651.0,1
1025.0,1
34.0,1
450.0,1
431.0,1
670.0,1
458.0,1
657.0,1
750.0,1
585.0,1
289.0,1
630.0,1
497.0,1
379.0,1
900.0,1
509.0,1
631.0,1
732.0,1
794.0,1
720.0,1
672.0,1
326.0,1
718.0,1
963.0,1
680.0,1
397.0,1
475.0,1
640.0,1
535.0,1
746.0,1
359.0,1
439.0,1
1699.0,1
558.0,1
461.0,1
268.0,1
528.0,1
975.0,1
599.0,1
329.0,1
346.0,1
495.0,1
434.0,1
647.0,1
341.0,1
775.0,1
22.0,1
549.0,1
596.0,1
378.0,1
570.0,1
357.0,1
598.0,1
354.0,1
464.0,1
12.0,1
436.0,1
523.0,1
1360.0,1
465.0,1
312.0,1
636.0,1
322.0,1
870.0,1
488.0,1
460.0,1
716.0,1
362.0,1
544.0,1
492.0,1
616.0,1
950.0,1
614.0,1
425.0,1
559.0,1
645.0,1
1390.0,1
587.0,1
904.0,1
428.0,1
414.0,1
840.0,1
766.0,1
580.0,1
382.0,1
937.0,1
502.0,1
364.0,1
2000.0,1
835.0,1
529.0,1
1300.0,1
