Locality name,count
Louvain-la-Neuve,165
Arlon,83
Durbuy,70
Namur,67
Oostende,67
Antwerp,66
Elsene,63
Wavre,63
Ukkel,62
Gent,60
Oostakker,60
Turnhout,57
Waterloo,55
Koksijde,55
Brussels,54
Heusden-Zolder,51
Roeselare,50
Nivelles,45
Marche-en-Famenne,43
Tournai,41
Braine-l'Alleud,41
Aalst,40
Hasselt,40
Geel,39
Sint-Lambrechts-Woluwe,36
Blankenberge,36
Andenne,36
Sint-Truiden,35
Schaarbeek,34
Ciney,33
Lasne,33
Anderlecht,33
Bertrix,32
Vorst,32
Beringen,32
Mechelen,31
Ronse,31
Charleroi,31
Deinze,30
Mouscron,30
Brugge,29
Tubize,29
Sint-Jans-Molenbeek,28
Geraardsbergen,28
Deurne,27
Tongeren,26
Genk,26
Leopoldsburg,26
Bouillon,26
La Roche-en-Ardenne,25
Evergem,25
Lommel,24
Dinant,24
Mol,24
Gilly,24
Kortrijk,24
Libramont-Chevigny,23
Nieuwpoort,23
Rochefort,23
Sint-Niklaas,23
Beerzel,22
Koersel,22
Middelkerke,21
Mons,21
Menen,21
Wetteren,20
Maaseik,20
Chaumont-Gistoux,20
Merksem,20
Oudenaarde,20
Jambes,20
Sint-Pieters-Woluwe,19
Neufchâteau,19
Halle,19
Bastogne,19
Ninove,19
Leuven,19
Beauraing,19
Marcinelle,19
Laken,19
Maasmechelen,18
Rixensart,18
Orp-le-Grand,18
Vilvoorde,18
La Louvière,18
Evere,18
Herzele,17
Dilsen-Stokkem,17
Zottegem,17
Oudergem,17
Hoboken,17
Jumet,17
Sint-Genesius-Rode,16
Koningshooikt,16
Perwez,16
Houthalen-Helchteren,16
Ath,16
Tervuren,16
Sint-Gillis,16
Herentals,16
Virton,16
Vielsalm,16
Jette,16
Couvin,16
Braine-le-Château,16
Tessenderlo,15
Libin,15
Courcelles,15
Willebroek,15
Wemmel,15
Balen,15
Wervik,15
Jodoigne,14
Harelbeke,14
Barvaux-sur-Ourthe,14
Rebecq,14
Athus,14
Montignies-sur-Sambre,14
Lier,14
Asse,14
Knokke-Heist,13
