Postal code,count
1348,165
6700,84
6940,80
8670,70
5000,68
1300,67
8400,67
1050,63
1180,62
9000,60
9041,60
2300,57
3550,55
1410,55
1000,54
8800,53
5300,50
6900,50
1400,45
7500,42
1420,41
9300,40
9800,40
3700,40
3500,40
2440,39
1350,39
5590,38
6880,37
1200,36
3800,36
5660,36
8370,36
9940,36
7700,35
1380,35
1480,35
5100,34
1030,34
5580,33
6800,33
1070,33
3580,32
6830,31
6000,31
2800,31
9600,31
9500,30
5060,30
2500,30
8930,30
6980,29
8000,29
1190,28
1080,28
7100,27
2580,27
5500,27
3970,26
3680,26
3600,26
9400,25
9100,25
2100,25
9230,24
5570,24
6200,24
8500,24
3920,24
6060,24
2400,24
8620,23
8300,23
2200,23
3582,22
9700,22
6840,21
8430,21
7000,21
1325,21
2170,20
5020,20
2060,20
1150,19
1020,19
6760,19
2830,19
3000,19
6600,19
6001,19
1500,19
3530,19
1330,18
9550,18
1140,18
2000,18
5600,18
1800,18
5377,18
3650,18
3630,18
1370,18
1160,17
6870,17
1430,17
2660,17
9620,17
1367,17
9080,17
1495,17
6040,17
8310,16
3840,16
8940,16
1060,16
6997,16
3080,16
6890,16
7800,16
1090,16
1440,16
6690,16
1360,16
9420,16
1640,16
5540,16
3980,15
6180,15
2490,15
6280,15
1780,15
7110,14
6061,14
6791,14
6850,14
8530,14
1730,14
9520,14
2870,13
8301,13
2140,13
5530,13
6032,13
8210,13
5651,13
5310,13
5575,13
3090,13
1332,13
5550,13
5190,13
2018,12
5170,12
2220,12
1320,12
1310,12
9120,12
1745,12
8420,12
8660,12
2610,12
2640,12
1081,12
1040,12
6120,12
6780,12
6970,12
6470,12
6030,12
6790,12
6660,12
6560,12
5640,12
9340,11
5560,11
7170,11
9820,11
6747,11
8480,11
1470,11
2430,11
9810,11
9032,11
1785,11
9880,11
8200,11
2275,10
1490,10
5650,10
2350,10
9920,10
3590,10
5537,10
6820,10
6042,10
5030,10
9052,10
8450,10
6730,10
9450,10
6987,10
5002,10
8720,10
8020,10
7080,10
1390,10
1600,10
3140,9
3020,9
6750,9
5555,9
1731,9
9190,9
3120,9
5670,9
9690,9
9070,9
9320,9
5620,9
8840,9
8890,9
6240,9
