Property ID,count
VWD15538,1
RBU50254,1
RBU50289,1
RBU50392,1
RBU50470,1
RBU50509,1
RBU50560,1
RBU50575,1
RBU50784,1
RBU50790,1
RBU50828,1
RBU50845,1
RBU50856,1
RBU50858,1
RBU50891,1
RBU50895,1
RBU50896,1
RBU50897,1
RBU50948,1
RBU50990,1
RBU50999,1
RBU51000,1
RBU51002,1
RBU51004,1
RBU51007,1
RBU50285,1
RBU50228,1
RBU51011,1
RBU50227,1
RBU48615,1
RBU48904,1
RBU48921,1
RBU48923,1
RBU48959,1
RBU49425,1
RBU49453,1
RBU49666,1
RBU49702,1
RBU49703,1
RBU49704,1
RBU49705,1
RBU49706,1
RBU49707,1
RBU49710,1
RBU49778,1
RBU49779,1
RBU49782,1
RBU49789,1
RBU49791,1
RBU24801,1
RBU49812,1
RBU49867,1
RBU51008,1
RBU51013,1
VBD40201,1
RBU51463,1
RBU51501,1
RBU51504,1
RBU51507,1
RBU51567,1
RBU51639,1
RBU51644,1
RBU51724,1
RBU51725,1
RBU24807,1
RBU51787,1
RBU51831,1
RBU51843,1
RBU51883,1
RBU51906,1
RBU51907,1
RBU52108,1
RBU52109,1
RBU25502,1
RBU52114,1
RBU52115,1
RBU52117,1
RBU52118,1
RBU52119,1
RBU51500,1
RBU51422,1
RBU51018,1
RBU51318,1
RBU51021,1
RBU51022,1
RBU51024,1
RBU51027,1
RBU51029,1
RBU51030,1
RBU51033,1
RBU51036,1
RBU51038,1
RBU51039,1
RBU51087,1
RBU51138,1
RBU51140,1
RBU51141,1
RBU51301,1
RBU51302,1
RWC41012,1
RBU51306,1
RBU51310,1
RBU51311,1
RBU51312,1
RBU51313,1
RBU51315,1
RBU48594,1
RBU48593,1
RBU48565,1
RBU44639,1
RBU45262,1
RBU45263,1
RBU45265,1
RBU45268,1
RBU45272,1
RBU45298,1
RBU45300,1
RBU45301,1
RBU45302,1
RBU45307,1
RBU45308,1
RBU45310,1
RBU45311,1
RBU45313,1
RBU45528,1
RBU45555,1
RBU45594,1
RBU45646,1
RBU45691,1
RBU45694,1
RBU45744,1
RBU45860,1
RBU45861,1
RBU44775,1
RBU44637,1
RBU48459,1
RBU44606,1
RBU42882,1
RBU42883,1
RBU42891,1
RBU42906,1
RBU42909,1
RBU42956,1
RBU42957,1
RBU42962,1
RBU42963,1
RBU43150,1
RBU43178,1
RBU43238,1
RBU43407,1
RBU43424,1
RBU43425,1
RBU43426,1
RBU43427,1
RBU43428,1
RBU43429,1
RBU43442,1
RBU43581,1
RBU43768,1
RBU43979,1
RBU45862,1
RBU45904,1
RBU45983,1
RBU46085,1
RBU47841,1
RBU47843,1
RBU47858,1
RBU47859,1
RBU47860,1
RBU47867,1
RBU47886,1
RBU47887,1
RBU47888,1
RBU25480,1
RBU25481,1
RBU47912,1
RBU47973,1
RBU48092,1
RBU48103,1
RBU48220,1
RBU48367,1
RBU48404,1
RBU48449,1
RBU48453,1
RBU48456,1
RBU48457,1
RBU48458,1
RBU47819,1
RBU47782,1
RBU47780,1
VBC83069,1
RBU46088,1
RBU46234,1
RBU46235,1
RBU46248,1
RBU46268,1
RBU45663,1
RBU46462,1
RBU46505,1
RBU46700,1
RBU46701,1
RBU46890,1
RBU47778,1
RBU46891,1
RBU46917,1
RBU46919,1
RBU46928,1
RBU46929,1
RBU47016,1
RBU47150,1
RBU47174,1
RBU47176,1
RBU47285,1
RBU52120,1
RBU52121,1
RBU52135,1
RBU58329,1
RBU58368,1
RBU58370,1
RBU58373,1
RBU51017,1
RBU58539,1
RBU58540,1
RBU24752,1
RBU58821,1
RBU58826,1
RBU58841,1
RBU58842,1
RBU58843,1
RBU58849,1
RBU58852,1
RBU58853,1
RBU58856,1
RBU58857,1
RBU58862,1
RBU58863,1
RBU58866,1
RBU58870,1
RBU58949,1
RBU58953,1
RBU58340,1
RBU58328,1
VBD44532,1
RBU58327,1
RBU57562,1
RBU57564,1
RBU57692,1
RBU57693,1
RBU57718,1
RBU17157,1
RBU58274,1
RBU58275,1
RBU58276,1
RBU58277,1
RBU58278,1
RBU58279,1
RBU58280,1
RBU58281,1
RBU58283,1
RBU58284,1
RBU58305,1
RBU58307,1
RBU58312,1
RBU58313,1
RBU58322,1
RBU58323,1
RBU58324,1
RBU58961,1
RBU58963,1
RBU58965,1
RBU58995,1
RBU59451,1
RBU59452,1
RBU59455,1
RBU59456,1
RBU59670,1
RBU59675,1
RBU60091,1
RBU60103,1
RBU60139,1
RBU60140,1
RBU60141,1
RBU60142,1
RBU60144,1
RBU60161,1
RBU60162,1
RBU60163,1
RBU60165,1
RBU60168,1
RBU60169,1
RBU60172,1
RBU60174,1
RBU60188,1
RBU60235,1
